Date,,Home/Away,Opp,PAs,Stadium,non-HR in at least 1,HR/30,Distance,Result,HR at Yankee,HR at Opp
May 28,NYY,away,LAA,4,Angel Stadium,0,n/a,n/a,n/a,n/a,n/a
May 29,NYY,away,LAA,5,Angel Stadium,0,n/a,n/a,n/a,n/a,n/a
May 30,NYY,away,LAA,5,Angel Stadium,0,n/a,n/a,n/a,n/a,n/a
May 31,NYY,away,SFG,4,Oracle Park,0,n/a,n/a,n/a,n/a,n/a
Jun 1,NYY,away,SFG,4,Oracle Park,0,n/a,n/a,n/a,n/a,n/a
Jun 2,NYY,away,SFG,5,Oracle Park,0,n/a,n/a,n/a,n/a,n/a
Jun 4,NYY,home,MIN,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 5,NYY,home,MIN,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 6,NYY,home,MIN,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 7,NYY,home,LAD,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 8,NYY,home,LAD,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 9,NYY,home,LAD,4,Yankee Stadium,1,5,390,2B,no,yes
Jun 11,NYY,away,KCR,4,Kauffman Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 12,NYY,away,KCR,5,Kauffman Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 13,NYY,away,KCR,4,Kauffman Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 14,NYY,away,BOS,5,Fenway Park,0,n/a,n/a,n/a,n/a,n/a
Jun 15,NYY,away,BOS,5,Fenway Park,0,n/a,n/a,n/a,n/a,n/a
Jun 16,NYY,away,BOS,4,Fenway Park,0,n/a,n/a,n/a,n/a,n/a
Jun 18,NYY,home,BAL,2,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 20,NYY,home,BAL,3,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 21,NYY,home,ATL,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 22,NYY,home,ATL,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 23,NYY,home,ATL,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Jun 25,NYY,away,NYM,5,Citi Field,0,n/a,n/a,n/a,n/a,n/a
